neuron,category,formula,threshold
123,(((((scene OR object OR scene OR object) AND NOT object) OR object OR scene OR object) AND NOT color) OR object),(((((gas station-s OR signboard OR reception-s OR water tower) AND NOT windowpane) OR service station OR lift bridge-s OR gas station) AND NOT yellow-c) OR signboard),4.3
124,((((((scene OR object) AND NOT color) OR scene OR object OR scene) AND NOT object) OR object) AND NOT (object OR object)),((((((dining room-s OR countertop) AND NOT grey-c) OR banquet hall-s OR kitchen island OR inn-indoor-s) AND NOT wall) OR sink) AND NOT (chair OR curtain)),6.4
125,(((object OR object OR object OR object OR object) AND NOT scene) OR part OR object OR object OR scene),(((stove OR work surface OR bottle OR sink OR dishwasher) AND NOT bathroom-s) OR lid OR jar OR oven OR liquor store-indoor-s),5.6
126,(((object OR object OR object OR object OR object) AND NOT (scene OR scene)) OR object),(((book OR bookcase OR book stand OR videos OR drawing) AND NOT (toyshop-s OR day care center-s)) OR easel),5.0
127,(object OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene),(shelf OR closet-s OR ball pit-s OR clothing store-s OR bookstore-s OR videostore-s OR kennel-indoor-s OR supermarket-s OR bank vault-s OR gift shop-s),4.9
128,(object OR object OR scene OR object OR scene OR scene),(waterfall OR dam OR movie theater-indoor-s OR stage OR bakery-kitchen-s OR home theater-s),4.0
129,(scene OR scene OR scene OR object OR scene OR part OR scene OR scene OR scene OR scene),(coast-s OR beach-s OR dolmen-s OR windmill OR field road-s OR clouds OR marsh-s OR earth fissure-s OR moor-s OR wheat field-s),4.5
130,((object OR object OR object OR scene OR object OR scene OR scene OR object) AND NOT (scene OR scene)),((signboard OR trade name OR text OR booth-indoor-s OR washer OR movie theater-outdoor-s OR liquor store-outdoor-s OR bulletin board) AND NOT (supermarket-s OR ice cream parlor-s)),4.9
131,((((object OR scene OR scene OR object OR scene OR scene) AND NOT object) OR scene OR object) AND NOT part),((((sofa OR theater-indoor procenium-s OR auditorium-s OR bench OR conference center-s OR cockpit-s) AND NOT wall) OR theater-indoor procenium-s OR sofa) AND NOT arm),4.1
132,(((object OR object OR scene OR object OR object OR object OR scene OR part) AND NOT scene) OR object),(((waterfall OR court OR football field-s OR tennis court OR shirt OR lockers OR fitting room-exterior-s OR wave) AND NOT basketball court-outdoor-s) OR pitch),4.3
133,(((object OR object OR object OR object) AND scene) OR object OR object),(((sink OR toilet OR bathtub OR countertop) AND bathroom-s) OR bidet OR bathtub),5.8
134,(((((object OR scene OR scene OR object OR object) AND NOT object) OR scene OR object) AND NOT object) OR scene),(((((flower OR ball pit-s OR field-cultivated-s OR inflatable bounce game OR telephone booth) AND NOT grass) OR field-wild-s OR flower) AND NOT plant) OR field-wild-s),3.4
135,((((scene OR scene OR scene OR object OR scene OR scene OR object) AND NOT scene) OR scene) AND NOT scene),((((classroom-s OR lecture room-s OR conference center-s OR tent OR auditorium-s OR funeral chapel-s OR swivel chair) AND NOT office-s) OR beer garden-s) AND NOT computer room-s),4.6
136,((object OR scene OR object OR object OR object OR object OR object OR object) AND NOT (scene OR scene)),((sink OR water tower-s OR toilet OR lighthouse OR tower OR control tower OR watchtower OR windmill) AND NOT (kitchen-s OR donjon-s)),5.4
137,(scene OR scene OR scene OR scene OR object OR object OR object OR scene OR object OR object),(subway interior-s OR bus interior-s OR bank vault-s OR car interior-backseat-s OR instrument panel OR oven OR dashboard OR kennel-indoor-s OR steering wheel OR escalator),4.5
138,(scene OR scene OR scene OR part OR scene OR scene OR part OR scene OR scene OR scene),(doorway-outdoor-s OR doorway-indoor-s OR bow window-outdoor-s OR garage door OR elevator-door-s OR shopfront-s OR metal shutter OR elevator-interior-s OR fire escape-s OR conference center-s),4.0
139,(((object OR scene OR scene OR scene) AND NOT scene) OR object OR object OR scene OR scene OR scene),(((field OR savanna-s OR windmill-s OR corn field-s) AND NOT field-wild-s) OR vineyard OR animal OR barnyard-s OR hayfield-s OR barn-s),4.8
140,(((object OR scene OR object OR scene OR scene OR scene OR object) AND NOT object) OR object OR object),(((skyscraper OR jail cell-s OR grill OR jail-indoor-s OR kennel-indoor-s OR archive-s OR folding screen) AND NOT building) OR videos OR folding door),5.0
141,((scene OR scene OR object OR scene OR object OR object OR scene OR scene OR object) AND NOT scene),((conference room-s OR gymnasium-indoor-s OR book OR witness stand-s OR swivel chair OR lockers OR courtroom-s OR conference center-s OR computer) AND NOT computer room-s),4.4
142,(object OR scene OR scene OR scene OR scene OR object OR object OR object OR scene OR object),(ruins OR fire escape-s OR slum-s OR ruin-s OR excavation-s OR controls OR rubbish OR rubble OR moat-dry-s OR railway),4.1
143,(scene OR scene OR scene OR scene OR scene OR object OR object OR object OR object OR object),(parlor-s OR throne room-s OR cathedral-indoor-s OR apse-indoor-s OR bedchamber-s OR altar OR altarpiece OR pulpit OR box office OR chandelier),4.8
144,((scene OR scene OR scene OR scene OR object OR object OR object OR scene OR scene) AND NOT object),((locker room-s OR ice skating rink-indoor-s OR bullring-s OR carrousel-s OR ring OR minibike OR ice rink OR dugout-s OR boxing ring-s) AND NOT wardrobe),3.9
145,((scene OR scene OR scene OR scene OR scene OR object OR scene) AND NOT (object OR object OR object)),((reception-s OR dinette-vehicle-s OR home theater-s OR sauna-s OR galley-s OR telephone booth OR witness stand-s) AND NOT (table OR door OR cabinet)),5.0
146,(((scene OR scene OR scene) AND NOT object) OR scene OR scene),(((shoe shop-s OR parking garage-indoor-s OR art gallery-s) AND NOT ceiling) OR parking garage-indoor-s OR natural history museum-s),4.0
147,(scene OR scene OR object OR object OR object OR object OR object OR object),(lighthouse-s OR courthouse-s OR watchtower OR water tower OR bandstand OR control tower OR tower OR windmill),4.6
148,(scene OR scene OR object OR scene OR scene OR object OR scene OR scene OR scene OR object),(bakery-shop-s OR fastfood restaurant-s OR signboard OR shopfront-s OR liquor store-outdoor-s OR trade name OR kiosk-indoor-s OR convenience store-outdoor-s OR movie theater-outdoor-s OR shop),4.2
149,(scene OR scene OR scene OR scene OR object OR object OR scene OR object OR scene OR scene),(viaduct-s OR rope bridge-s OR boathouse-s OR river-s OR waterfall OR aqueduct OR village-s OR forest OR hot spring-s OR mountain path-s),4.5
150,(((scene OR object OR scene OR object OR object OR object) AND NOT object) OR object OR scene OR object),(((landing deck-s OR plane OR gazebo-exterior-s OR aircraft carrier OR runway OR shelter) AND NOT grass) OR helicopter OR operating room-s OR plane),3.5
151,(scene OR object OR scene OR scene OR scene OR scene OR object OR object OR object OR object),(shopping mall-indoor-s OR greenhouse OR atrium-public-s OR natural history museum-s OR escalator-indoor-s OR bank vault-s OR helicopter OR revolving door OR dome OR escalator),3.8
152,((((scene OR scene OR object OR part OR object OR object) AND NOT scene) OR scene) AND NOT (scene OR object)),((((lighthouse-s OR snowfield-s OR ice OR garage door OR runway OR iceberg) AND NOT arrival gate-outdoor-s) OR catwalk-s) AND NOT (crevasse-s OR sand)),3.7
153,(((scene OR scene OR object OR scene OR part OR scene OR scene OR scene) AND NOT object) OR scene),(((kitchen-s OR alcove-s OR pool table OR basement-s OR garage door OR house-s OR closet-s OR bow window-indoor-s) AND NOT wardrobe) OR alcove-s),6.5
154,((((scene OR scene) AND object) OR object OR object OR object OR object OR object) AND NOT scene),((((mountain snowy-s OR crevasse-s) AND mountain) OR greenhouse OR iceberg OR ice OR forest OR caravan) AND NOT lake-natural-s),4.9
155,(object OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR object),(case OR hayfield-s OR supermarket-s OR labyrinth-outdoor-s OR zen garden-s OR earth fissure-s OR candy store-s OR topiary garden-s OR convenience store-indoor-s OR patty),4.7
156,((scene OR object OR scene OR object OR object) AND NOT (scene OR scene)),((cockpit-s OR toilet OR sauna-s OR sink OR bowl) AND NOT (kitchen-s OR galley-s)),4.5
157,((object OR object OR scene OR object OR object OR scene OR scene OR scene) AND NOT (object OR material)),((book OR bookcase OR classroom-s OR coffee table OR book stand OR library-indoor-s OR slum-s OR workshop-s) AND NOT (floor OR carpet)),4.4
158,((((color AND scene AND object) AND NOT object) OR scene OR object) AND NOT (object OR object OR object)),((((white-c AND street-s AND sky) AND NOT tree) OR fishpond-s OR temple) AND NOT (tree OR earth OR rock)),4.8
159,((scene OR scene OR scene OR object OR part OR object OR object OR object OR scene) AND NOT object),((television studio-s OR cockpit-s OR music studio-s OR computer OR fire escape OR bicycle OR television camera OR equipment OR fire escape-s) AND NOT windowpane),4.8
160,((object OR scene OR scene OR scene OR scene OR object OR scene OR scene OR scene) AND NOT object),((grandstand OR baseball field-s OR stadium-baseball-s OR batters box-s OR football field-s OR controls OR bleachers-outdoor-s OR bullpen-s OR bullring-s) AND NOT earth),3.8
161,(part OR scene OR scene OR scene OR scene OR scene OR object OR scene OR object OR object),(shop window OR supermarket-s OR gas station-s OR convenience store-outdoor-s OR liquor store-outdoor-s OR shopfront-s OR shop OR general store-outdoor-s OR trade name OR stands),4.9
162,(((object OR scene OR part OR object OR object OR object OR object OR object) AND NOT object) OR scene),(((cushion OR sandbox-s OR headboard OR pillow OR fireplace OR sculpture OR microwave OR inflatable bounce game) AND NOT sofa) OR ball pit-s),4.2
163,(scene OR scene OR scene OR scene OR object OR scene OR object OR scene OR scene),(airport terminal-s OR cafeteria-s OR assembly line-s OR market-indoor-s OR stands OR call center-s OR fruit OR parking garage-indoor-s OR food court-s),4.7
164,((((((object OR scene) AND NOT color) OR scene OR object) AND NOT (scene OR scene)) OR scene OR scene) AND NOT object),((((((sea OR landing deck-s) AND NOT green-c) OR flight of stairs-natural-s OR aircraft carrier) AND NOT (beach-s OR coast-s)) OR mountain path-s OR gulch-s) AND NOT sand),4.3
165,((part OR scene OR object OR scene OR scene OR object OR part OR scene OR part) AND NOT object),((garage door OR hangar-outdoor-s OR stage OR industrial park-s OR loading dock-s OR covered bridge OR metal shutter OR movie theater-indoor-s OR entrance) AND NOT seat),5.2
166,((scene OR scene OR object OR scene OR scene OR scene OR scene OR scene OR scene) AND NOT scene),((beach-s OR sandbox-s OR sales booth OR banquet hall-s OR amphitheater-s OR volleyball court-outdoor-s OR labyrinth-outdoor-s OR market-outdoor-s OR beer garden-s) AND NOT beach-s),3.4
167,((((object OR object OR object OR scene OR scene OR scene) AND NOT object) OR object) AND NOT (object OR object)),((((railroad train OR railway OR tracks OR viaduct-s OR train station-outdoor-s OR subway station-platform-s) AND NOT field) OR viaduct) AND NOT (road OR bush)),3.9
168,(((object OR object OR scene OR scene OR scene OR object OR scene) AND NOT object) OR scene OR scene),(((house OR truck OR industrial park-s OR water tower-s OR hangar-outdoor-s OR lighthouse OR brewery-outdoor-s) AND NOT house) OR inn-outdoor-s OR library-outdoor-s),4.3
169,((((scene OR scene OR object OR object OR object OR object OR object) AND NOT scene) OR object) AND NOT object),((((amphitheater-s OR greenhouse-indoor-s OR greenhouse OR labyrinth OR dome OR gravestone OR grandstand) AND NOT bullring-s) OR terraces) AND NOT field),4.5
170,((scene AND color) OR scene OR scene OR scene OR object OR object OR object OR object OR scene),((highway-s AND grey-c) OR bullring-s OR dirt track-s OR road cut-s OR central reservation OR track OR ring OR valley OR amphitheater-s),4.7
171,(((((((object OR object) AND scene) AND NOT object) OR object) AND scene) OR scene) AND NOT (color OR object)),(((((((car OR autobus) AND street-s) AND NOT road) OR van) AND street-s) OR canal-urban-s) AND NOT (green-c OR road)),5.3
172,(((object AND scene) OR object OR object OR scene OR part) AND NOT (color OR object OR object OR scene)),(((car AND street-s) OR autobus OR van OR crosswalk-s OR crosswalk) AND NOT (green-c OR door OR tree OR highway-s)),5.2
173,((((((scene OR scene OR object) AND NOT object) OR scene OR object) AND NOT object) OR scene) AND NOT (object OR object)),((((((closet-s OR cockpit-s OR apparel) AND NOT wall) OR clothing store-s OR jersey) AND NOT shelf) OR booth-indoor-s) AND NOT (pedestal OR seat)),3.7
174,(((((scene OR scene OR scene) AND NOT object) OR scene OR scene OR scene) AND NOT object) OR scene OR object),(((((conference room-s OR gymnasium-indoor-s OR ice skating rink-indoor-s) AND NOT ceiling) OR lecture room-s OR basketball court-indoor-s OR airplane cabin-s) AND NOT floor) OR cafeteria-s OR bowling alley),4.5
175,((object OR object OR scene OR object OR object OR object OR scene OR scene OR object) AND NOT scene),((tent OR escalator OR car interior-backseat-s OR bowling alley OR caravan OR dam OR escalator-indoor-s OR airplane cabin-s OR instrument panel) AND NOT airport terminal-s),3.8
176,(scene OR scene OR object OR scene OR scene OR object OR object OR part OR scene OR object),(castle-s OR temple-east asia-s OR acropolis OR donjon-s OR moat-water-s OR ruins OR sculpture OR shaft OR hoodoo-s OR temple),4.2
177,(object OR object OR scene OR object OR scene OR scene OR scene OR object OR object OR scene),(grandstand OR animal OR sandbar-s OR cow OR runway-s OR corn field-s OR batters box-s OR plane OR controls OR watering hole-s),3.6
178,(scene OR scene OR scene OR scene OR scene OR scene OR object OR object OR scene OR scene),(balcony-interior-s OR plaza-s OR quadrangle-s OR cloister-outdoor-s OR restaurant patio-s OR volleyball court-outdoor-s OR dam OR aqueduct OR lido deck-outdoor-s OR courtyard-s),4.4
179,(scene OR scene OR scene OR scene OR scene OR object OR scene OR object OR object OR object),(cathedral-indoor-s OR throne room-s OR excavation-s OR church-indoor-s OR apse-indoor-s OR altar OR junkyard-s OR terraces OR bulldozer OR altarpiece),4.5
180,((((((((object OR object) AND NOT color) OR object) AND NOT scene) OR scene) AND NOT object) OR object) AND NOT (object OR scene)),((((((((plant OR palm) AND NOT black-c) OR flower) AND NOT greenhouse-indoor-s) OR bayou-s) AND NOT tree) OR flowerpot) AND NOT (rock OR market-outdoor-s)),6.5
181,((((scene AND object) OR object) AND NOT color) OR object),((((street-s AND tree) OR water tower) AND NOT blue-c) OR water tower),5.1
182,((scene OR scene OR scene OR object OR object OR object OR scene OR object OR scene) AND NOT object),((market-outdoor-s OR bazaar-outdoor-s OR market-indoor-s OR animal OR cow OR horse OR florist shop-outdoor-s OR elephant OR bazaar-indoor-s) AND NOT sidewalk),4.0
183,((((scene OR scene OR scene OR scene OR scene OR object) AND NOT object) OR scene) AND NOT part),((((nursery-s OR childs room-s OR playroom-s OR kindergarden classroom-s OR day care center-s OR cradle) AND NOT curtain) OR kindergarden classroom-s) AND NOT pane),5.1
184,((((((object AND scene) OR object OR scene OR object) AND NOT object) OR object OR scene) AND NOT object) OR object),((((((chair AND dining room-s) OR horse OR dinette-home-s OR washing machines) AND NOT wall) OR cow OR tearoom-s) AND NOT wall) OR animal),5.0
185,(((object OR scene OR scene OR object OR scene OR object) AND NOT object) OR scene OR scene OR scene),(((person OR water tower-s OR catwalk-s OR lighthouse OR control tower-outdoor-s OR sculpture) AND NOT person) OR fitting room-interior-s OR catwalk-s OR podium-indoor-s),3.0
186,(scene OR scene OR scene OR scene OR scene OR object OR scene OR object OR object OR scene),(church-indoor-s OR cathedral-indoor-s OR temple-east asia-s OR throne room-s OR pagoda-s OR bandstand OR butte-s OR temple OR altar OR theater-indoor procenium-s),3.9
187,(object OR object OR object OR object OR scene OR scene OR object OR object OR object OR object),(bench OR stairs OR stairway OR altar OR church-indoor-s OR throne room-s OR pulpit OR bandstand OR fountain OR sculpture),5.2
188,((((color OR scene OR object OR scene OR scene OR object OR object) AND NOT color) OR scene) AND NOT object),((((red-c OR television studio-s OR inflatable bounce game OR shopfront-s OR bedchamber-s OR playground OR telephone booth) AND NOT orange-c) OR pub-outdoor-s) AND NOT person),3.5
189,((((scene OR scene) AND NOT object) OR object) AND NOT (color OR object)),((((attic-s OR oast house-s) AND NOT bed) OR windmill) AND NOT (red-c OR double door)),5.6
190,(scene OR scene OR scene OR object OR object OR object OR object OR object OR object OR object),(swimming pool-outdoor-s OR jacuzzi-indoor-s OR jacuzzi-outdoor-s OR fountain OR swimming pool OR windmill OR bandstand OR pool OR temple OR hot tub),4.3
191,((scene OR object OR scene OR scene OR scene OR scene) AND NOT (object OR scene OR object OR object)),((bakery-shop-s OR fireplace OR workshop-s OR bakery-kitchen-s OR gift shop-s OR newsstand-outdoor-s) AND NOT (building OR dining room-s OR bookcase OR box)),4.3
192,((object OR object OR object OR object OR object OR object OR object) AND NOT (scene OR scene OR scene)),((skyscraper OR lighthouse OR water tower OR tower OR control tower OR chimney OR windmill) AND NOT (street-s OR watchtower-s OR amusement park-s)),4.7
193,(object OR object OR object OR object OR scene OR object OR object OR object OR object OR object),(cradle OR aqueduct OR pier OR acropolis OR ruin-s OR dam OR lockers OR gravestone OR footbridge OR vineyard),3.7
194,((scene OR object OR object OR object OR object OR scene OR object OR object OR object) AND NOT object),((carrousel-s OR rubbish OR carousel OR barrel OR roller coaster OR junkyard-s OR cannon OR rubble OR labyrinth) AND NOT earth),3.4
195,(((object OR object OR object OR object OR scene OR object) AND NOT scene) OR object),(((cradle OR railing OR hovel OR grill OR shed-s OR shed) AND NOT alley-s) OR henhouse),4.4
196,(scene OR object OR object OR scene OR object OR object OR object OR scene OR object OR scene),(gazebo-exterior-s OR cradle OR tent OR shed-s OR greenhouse OR henhouse OR dome OR cabana-s OR bandstand OR boathouse-s),5.0
197,(((object OR scene OR scene) AND NOT object) OR scene OR object),(((pool table OR parking garage-indoor-s OR bowling alley-s) AND NOT floor) OR parking garage-indoor-s OR bowling alley),5.2
198,(((scene OR object OR scene OR object OR object OR object OR object OR object) AND NOT scene) OR part),(((fire escape-s OR bridge OR staircase-s OR roller coaster OR crane OR trestle OR windmill OR scaffolding) AND NOT street-s) OR fire escape),4.3
199,(((scene OR part OR object OR scene OR object OR scene OR scene OR scene) AND NOT color) OR object),(((castle-s OR headboard OR pillow OR dolmen-s OR lighthouse OR ruin-s OR donjon-s OR moat-water-s) AND NOT blue-c) OR lighthouse),5.5
200,((scene OR scene OR scene OR scene OR object OR scene OR part) AND NOT (object OR object)),((corridor-s OR supermarket-s OR martial arts gym-s OR clean room-s OR ball OR convenience store-indoor-s OR screen) AND NOT (pillar OR booth)),3.7
201,(((((scene AND object) OR object) AND NOT color) OR object OR object OR part) AND NOT scene),(((((street-s AND tree) OR fountain) AND NOT grey-c) OR altar OR fountain OR windows) AND NOT skyscraper-s),4.7
202,((((scene OR scene OR scene OR object OR scene) AND NOT color) OR object OR scene) AND NOT object),((((cockpit-s OR airplane cabin-s OR theater-indoor procenium-s OR mezzanine OR throne room-s) AND NOT yellow-c) OR altar OR airplane cabin-s) AND NOT table),4.1
203,((((scene OR object OR object OR scene OR part OR scene OR scene) AND NOT object) OR object) AND NOT object),((((staircase-s OR stairway OR escalator OR rope bridge-s OR fire escape OR flight of stairs-natural-s OR backstairs-s) AND NOT house) OR stairway) AND NOT bridge),5.7
204,(scene OR scene OR scene OR scene OR scene OR scene OR scene),(forest path-s OR mountain path-s OR flight of stairs-natural-s OR ski slope-s OR moor-s OR field road-s OR lean-to-s),4.7
205,(scene OR scene OR scene OR scene OR scene OR scene OR object OR scene OR object OR object),(supermarket-s OR toyshop-s OR candy store-s OR delicatessen-s OR bazaar-indoor-s OR butchers shop-s OR village OR market-indoor-s OR magazine OR terraces),3.9
206,(scene OR scene OR object OR scene OR scene OR scene OR scene OR object OR scene OR object),(mosque-outdoor-s OR cloister-indoor-s OR washer OR cathedral-indoor-s OR apse-indoor-s OR church-outdoor-s OR mausoleum-s OR bandstand OR cathedral-outdoor-s OR washing machines),4.6
207,(((scene OR object OR scene OR part OR scene OR object) AND NOT (scene OR object)) OR object OR object),(((archive-s OR book OR videostore-s OR balcony OR parking garage-outdoor-s OR bookcase) AND NOT (building facade-s OR pedestal)) OR pantry OR barrels),5.6
208,(((((object OR object OR scene OR object OR scene OR object) AND NOT part) OR object) AND NOT scene) OR object),(((((person OR truck OR batters box-s OR stretcher OR dugout-s OR cradle) AND NOT head) OR sculpture) AND NOT art studio-s) OR rubbish),4.1
209,(scene OR scene OR scene OR scene OR scene OR scene OR part OR scene OR scene OR object),(airport terminal-s OR art gallery-s OR ballroom-s OR elevator lobby-s OR artists loft-s OR lobby-s OR seat cushion OR atrium-public-s OR throne room-s OR box office),6.2
210,(scene OR object OR object OR object OR object OR object OR scene OR object OR part OR object),(cockpit-s OR computer OR windmill OR plane OR laptop OR aircraft carrier OR control tower-indoor-s OR synthesizer OR fuselage OR keyboard),4.3
211,(object OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR object),(runway OR football field-s OR parking garage-indoor-s OR control tower-outdoor-s OR bullring-s OR driving range-outdoor-s OR baseball field-s OR airport-s OR circus tent-outdoor-s OR pitch),4.9
212,((((object OR object OR scene OR scene OR object OR object OR scene) AND NOT object) OR scene) AND NOT scene),((((pool table OR chandelier OR orchard-s OR pagoda-s OR fan OR carousel OR cathedral-outdoor-s) AND NOT sky) OR ski slope-s) AND NOT amusement park-s),3.8
213,(((((scene OR scene) AND object) OR scene OR scene OR scene OR scene) AND object) OR object OR object),(((((building facade-s OR general store-outdoor-s) AND building) OR casino-outdoor-s OR balcony-exterior-s OR bank-outdoor-s OR shopfront-s) AND building) OR scaffolding OR porch),4.8
214,((scene OR scene OR object OR scene OR scene OR scene OR object OR object OR object) AND NOT object),((theater-indoor procenium-s OR casino-indoor-s OR stage OR home theater-s OR stage-indoor-s OR television studio-s OR panel OR fountain OR slot machine) AND NOT person),4.0
215,((((part OR object OR object OR scene) AND NOT scene) OR object OR scene) AND NOT (scene OR object OR scene)),((((headboard OR pillow OR cushion OR jacuzzi-indoor-s) AND NOT living room-s) OR windmill OR pilothouse-indoor-s) AND NOT (childs room-s OR painting OR bathroom-s)),4.4
216,((((object OR object OR object) AND scene) OR object OR part OR object OR scene OR part) AND NOT scene),((((toilet OR sink OR countertop) AND bathroom-s) OR shirt OR head OR bowl OR beauty salon-s OR lid) AND NOT kitchen-s),4.0
217,(object OR scene OR object OR object OR object OR object OR scene OR object OR object OR scene),(case OR bowling alley-s OR escalator OR railway OR tracks OR platform OR bleachers-indoor-s OR conveyer belt OR railroad train OR butchers shop-s),4.5
218,(object OR scene OR scene OR scene OR object OR scene OR scene OR scene OR scene OR object),(plane OR heliport-s OR runway-s OR volleyball court-outdoor-s OR horse OR wrestling ring-indoor-s OR air base-s OR arrival gate-outdoor-s OR boxing ring-s OR helicopter),3.8
219,((((((scene OR scene) AND NOT object) OR scene) AND NOT (object OR color)) OR object) AND NOT (object OR object OR object)),((((((highway-s OR forest road-s) AND NOT sky) OR mountain road-s) AND NOT (tree OR blue-c)) OR roundabout) AND NOT (sky OR fence OR sidewalk)),7.4
220,(scene OR object OR object OR scene OR object OR object OR object),(amusement park-s OR arcade machine OR slot machine OR carrousel-s OR pool table OR playground OR exhibitor),4.5
221,((((((object OR scene) AND color) OR scene) AND NOT (scene OR scene)) OR scene) AND NOT (object OR scene)),((((((grass OR golf course-s) AND green-c) OR fairway-s) AND NOT (pasture-s OR ranch-s)) OR lawn-s) AND NOT (fence OR hill-s)),6.8
222,(((object OR object OR object OR scene OR object OR object OR object) AND NOT scene) OR scene OR scene),(((house OR hovel OR caravan OR geodesic dome-outdoor-s OR windmill OR covered bridge OR shed) AND NOT house-s) OR barn-s OR hangar-outdoor-s),4.6
223,(scene OR scene OR scene OR scene OR part OR object OR scene),(bowling alley-s OR oast house-s OR cottage-s OR orchard-s OR roof OR chimney OR mansion-s),3.8
224,(((((((scene OR scene OR scene) AND object) OR part OR scene) AND object) OR scene) AND object) OR object),(((((((fire escape-s OR parking garage-outdoor-s OR apartment building-outdoor-s) AND building) OR windows OR office building-s) AND building) OR hospital-s) AND building) OR lighthouse),5.4
225,((((((scene AND object) OR object OR object OR object) AND scene) AND NOT color) OR scene) AND NOT (object OR object)),((((((bathroom-s AND wall) OR toilet OR sink OR bathtub) AND bathroom-s) AND NOT orange-c) OR shower-s) AND NOT (door OR mirror)),5.9
226,(((object OR object) AND color) OR scene OR object OR scene OR scene OR object OR scene OR scene),(((earth OR sand) AND brown-c) OR savanna-s OR dirt track OR excavation-s OR earth fissure-s OR semidesert ground OR dirt track-s OR oasis-s),5.0
227,(scene OR scene OR object OR object OR object OR object OR part OR part OR object OR object),(shopping mall-indoor-s OR atrium-public-s OR water tower OR arcade OR viaduct OR aqueduct OR fire escape OR arcades OR railroad train OR elevator),4.4
228,(((scene OR object OR scene OR scene OR object OR scene OR scene) AND NOT object) OR object OR object),(((airport terminal-s OR grandstand OR ice skating rink-indoor-s OR hangar-indoor-s OR water tower OR stadium-baseball-s OR library-outdoor-s) AND NOT sky) OR water tower OR service station),5.0
229,(((object OR scene OR scene OR object OR object OR object OR object OR object) AND NOT scene) OR object),(((pool table OR landing deck-s OR boxing ring-s OR tennis court OR table tennis OR aircraft carrier OR court OR mat) AND NOT basketball court-indoor-s) OR ring),5.3
230,((object OR scene OR scene OR scene OR object OR scene OR scene OR object) AND NOT (scene OR scene)),((grandstand OR movie theater-indoor-s OR auditorium-s OR theater-indoor procenium-s OR tennis court OR stadium-baseball-s OR football field-s OR pitch) AND NOT (baseball field-s OR ice skating rink-indoor-s)),4.4
231,(part OR object OR scene OR scene OR object OR object OR scene),(crosswalk OR pitch OR batters box-s OR desert-sand-s OR ring OR bowling alley OR bullpen-s),3.8
232,(((object OR scene OR scene OR object OR scene OR object OR scene OR scene) AND NOT object) OR object),(((cradle OR casino-outdoor-s OR office building-s OR water tower OR library-outdoor-s OR acropolis OR bank-outdoor-s OR parking garage-outdoor-s) AND NOT sky) OR water tower),4.7
233,(object OR scene OR scene OR scene OR object OR object OR scene OR object OR scene OR scene),(bridge OR viaduct-s OR arch-s OR downtown-s OR roller coaster OR greenhouse OR lift bridge-s OR aqueduct OR covered bridge-exterior-s OR freeway-s),4.7
234,((object OR object OR scene OR scene OR object OR scene OR scene OR scene OR scene) AND NOT object),((shelf OR desk OR ice cream parlor-s OR courtroom-s OR computer OR witness stand-s OR coffee shop-s OR art school-s OR fastfood restaurant-s) AND NOT shelf),5.4
235,(object OR object OR scene OR object OR scene OR scene OR scene OR scene OR object OR object),(pitch OR path OR batters box-s OR dirt track OR bullpen-s OR baseball field-s OR volleyball court-outdoor-s OR stadium-baseball-s OR sand trap OR vineyard),4.9
236,((scene OR scene OR object OR object OR object OR object OR scene OR scene OR scene) AND NOT object),((field-wild-s OR windmill-s OR tower OR lighthouse OR lake OR elevator door OR corn field-s OR village-s OR wheat field-s) AND NOT sky),3.9
237,((scene OR scene OR object OR object OR scene OR object OR part OR scene OR part) AND NOT scene),((orchard-s OR heliport-s OR plane OR helicopter OR escalator-indoor-s OR fish OR lid OR subway station-corridor-s OR water tank) AND NOT museum-indoor-s),3.4
238,(object OR scene OR scene OR object OR scene OR scene),(pool table OR courtroom-s OR funeral chapel-s OR horse OR church-indoor-s OR chalet-s),4.4
239,((((object AND color) OR scene OR scene OR scene OR scene OR scene) AND NOT object) OR scene OR scene),((((mountain AND brown-c) OR kasbah-s OR butte-s OR desert-sand-s OR canyon-s OR bow window-outdoor-s) AND NOT house) OR loading dock-s OR manhole-s),4.0
240,(object OR scene OR object OR scene OR object OR object OR scene OR scene OR scene OR scene),(court OR archaelogical excavation-s OR tennis court OR amphitheater-s OR ice rink OR labyrinth OR hot spring-s OR sandbox-s OR labyrinth-indoor-s OR anechoic chamber-s),4.3
241,(object OR scene OR scene OR object OR scene OR scene OR object OR scene OR scene OR object),(kitchen island OR amphitheater-s OR auditorium-s OR vineyard OR conference center-s OR rope bridge-s OR labyrinth OR fence-s OR theater-indoor procenium-s OR terraces),4.3
242,((scene OR scene OR scene OR scene OR scene OR object OR scene OR scene OR part) AND NOT object),((corridor-s OR youth hostel-s OR elevator-door-s OR elevator-interior-s OR dorm room-s OR ticket window OR elevator lobby-s OR home theater-s OR screen) AND NOT floor),5.0
